ich bin zu Hause | أنا في المنزل
ich wurde ausgeraubt | تم سرقتي
das ist es nicht wert | لا يستحق الأمر
ich werde heiraten | سأتزوج
willst du wissen warum | هل تريد أن تعرف لماذا
ich bin nach Schweden geflogen | سافرت إلى السويد
du bist nicht nett | أنت لست لطيفاً
wir haben früher zusammen gearbeitet | كنا نعمل معاً من قبل
es ist nicht meine Schuld | ليس ذنبي
ich möchte mich entschuldigen | أود أن أعتذر
das ist ein schöner Name | هذا اسم جميل
wer war das | من كان ذلك
das ist verrückt | هذا مجنون
was ist los mit dir | ما الخطب معك
er ist mein bester Freund | إنه أفضل صديق لي
ja das stimmt | نعم هذا صحيح
wie konntest du das zulassen | كيف سمحت بذلك
wirst du ihn anrufen | هل ستتصل به
ich kann es nicht glauben | لا أستطيع تصديق ذلك
du liegst falsch | أنت مخطئ
ich würde dich gerne wiedersehen | أود أن أراك مرة أخرى
du hast heute etwas Gutes getan | فعلت شيئاً جيداً اليوم
habe ich etwas verpasst | هل فوتت شيئاً
das spielt keine Rolle | لا يهم ذلك
wie viele willst du | كم تريد
das warst du | كان ذلك أنت
das war so lahm | كان ذلك مملاً جداً
willst du mit Wein kommen | هل تريد أن تأتي مع النبيذ
wo sind sie | أين هم
sei glücklich | كن سعيداً
lächle | ابتسم
wie komme ich zum Flughafen | كيف أصل إلى المطار
ich kann dir meine Nummer nicht geben | لا أستطيع إعطاءك رقمي
das habe ich völlig vergessen | نسيت ذلك تماماً
wir reden später | سنتحدث لاحقاً
was macht sie | ماذا تفعل
du machst mich glücklich | أنت تجعلني سعيداً
ich habe den ganzen Tag gearbeitet | عملت طوال اليوم
ich werde eine Pizza bestellen | سأطلب بيتزا
bring ihn zu mir zurück | أعده إلي
ich kenne das Mädchen | أعرف الفتاة
sieh dir das an | انظر إلى ذلك
du bist mein Freund | أنت صديقي
noch ein gutes Argument | حجة أخرى جيدة
du willst dass ich lüge | تريدني أن أكذب
er sieht nicht glücklich aus | لا يبدو سعيداً
das gibt's doch nicht | هذا غير ممكن
glaube an dich selbst | آمن بنفسك
jeder lügt in seinem Lebenslauf | الجميع يكذب في سيرته الذاتية
was zum Teufel machst du da | ماذا تفعل بحق الجحيم
mach die Tür auf | افتح الباب
keiner von uns | لا أحد منا
ich hasse diesen Typen | أكره هذا الرجل
ich bin ein Freund von mir | أنا صديق لنفسي
küss mich | قبلني
kau nicht an deinen Nägeln | لا تعض أظافرك
war das deine Idee | هل كانت تلك فكرتك
ich bin anderer Meinung als du | أختلف معك في الرأي
es war ihre Idee | كانت فكرتها
sie kennt mich kaum | بالكاد تعرفني
du riechst heute Abend gut | رائحتك جميلة الليلة
hast du Paul gesehen | هل رأيت بول
es ist kompliziert | الأمر معقد
ich weiß dass du es kannst | أعلم أنك تستطيع
du bist so süß | أنت لطيف جداً
das ist so toll | هذا رائع جداً
hör auf damit | توقف عن ذلك
ist das wahr | هل هذا صحيح
da kommt sie | ها هي قادمة
lass es uns machen | دعنا نفعل ذلك
die Jacke steht dir gut | الجاكيت يبدو عليك جيداً
wie sieht sie aus | كيف تبدو
ich habe nichts gemacht | لم أفعل شيئاً
du hast etwas Schlimmes getan | فعلت شيئاً سيئاً
ich verstehe was du meinst | أفهم ما تقصده
hier ist meine Kreditkarte | هذه بطاقتي الائتمانية
mach dir nichts draus | لا تقلق بشأن ذلك
probier diese Suppe | جرب هذا الحساء
schau nicht hin | لا تنظر
jetzt bin ich deprimiert | الآن أنا مكتئب
soll ich ihn anrufen | هل يجب أن أتصل به
wovon redest du eigentlich | عن ماذا تتحدث بالفعل
tut es noch weh | هل لا يزال يؤلم
wie oft liest du Bücher | كم مرة تقرأ الكتب
oh das ist toll | أوه هذا رائع
ich mag es nicht | لا أحب ذلك
ich habe mich beschäftigt | أبقيت نفسي مشغولاً
ich bin schwach | أنا ضعيف
das musst du gewesen sein | لابد أن ذلك كان أنت
es war dumm | كان غبياً
was hast du vor | ما الذي تخطط له
sag es ihm | قل له
du bist ein Idiot | أنت أحمق
ich habe allen davon erzählt | أخبرت الجميع عن ذلك
wo soll ich anfangen | من أين أبدأ
ich liebe dieses Buch | أحب هذا الكتاب
er hat völlig recht | إنه محق تماماً
er ist noch nicht da | لم يصل بعد
das habe ich ihr auch gesagt | قلت لها ذلك أيضاً
spiel mit mir | العب معي
muss es denn gleich ein ganzer Tag sein | هل يجب أن يكون يوماً كاملاً
warum schreist du | لماذا تصرخ
ich habe etwas für dich | عندي شيء لك
bist du bereit | هل أنت مستعد
du blutest | أنت تنزف
du bist sehr nett | أنت لطيف جداً
schön dich kennenzulernen | سعيد بلقائك
ich mag diese Frage nicht | لا أحب هذا السؤال
ich brauche etwas Süßes | أحتاج شيئاً حلواً
die Übersetzung ist nicht gut | الترجمة ليست جيدة
ich muss arbeiten | يجب أن أعمل
das ist doch Unsinn | هذا هراء
Überraschung | مفاجأة
ich bin ganz deiner Meinung | أتفق معك تماماً
ist Freitag okay | هل الجمعة مناسبة
sich zu sorgen ist verschwendete Zeit | القلق مضيعة للوقت
das Spiel ist vorbei | انتهت اللعبة
kann ich dir bei irgendetwas helfen | هل يمكنني مساعدتك في أي شيء
hast du die Maschine überprüft | هل فحصت الآلة
wovon sprichst du | عن ماذا تتحدث
hast du auf mein Handy aufgepasst | هل راقبت هاتفي
ich kann dich nicht hören | لا أستطيع سماعك
was ist passiert | ماذا حدث
ich will dich nie wiedersehen | لا أريد رؤيتك مرة أخرى أبداً
ich kann das jetzt nicht trinken | لا أستطيع شرب ذلك الآن
wir haben eine Überraschung für dich | لدينا مفاجأة لك
das habe ich nie gesagt | لم أقل ذلك أبداً
vergiss es | انس الأمر
das Telefon klingelt | الهاتف يرن
bitte hasse mich nicht | رجاءً لا تكرهني
ich muss zur Arbeit gehen | يجب أن أذهب إلى العمل
ich werde es tun | سأفعل ذلك
er ist verrückt | إنه مجنون
du bist unglaublich | أنت لا تصدق
kann ich dein Telefon benutzen | هل يمكنني استخدام هاتفك
ich versuche positiv zu bleiben | أحاول أن أبقى إيجابياً
ich möchte auf die Toilette gehen | أريد الذهاب إلى الحمام
rate mal was ich gekauft habe | خمن ماذا اشتريت
du wurdest gefeuert | تم طردك
was ist los | ما الأمر
kein Problem | لا مشكلة
nein natürlich nicht | لا بالطبع لا
ich werde es in Ordnung bringen | سأصلح الأمر
beeil dich | أسرع
