ich bin zu Hause | I am at home
ich wurde ausgeraubt | I was robbed
das ist es nicht wert | it's not worth it
ich werde heiraten | I will get married
willst du wissen warum | do you want to know why
ich bin nach Schweden geflogen | I flew to Sweden
du bist nicht nett | you are not nice
wir haben früher zusammen gearbeitet | we used to work together
es ist nicht meine Schuld | it's not my fault
ich möchte mich entschuldigen | I would like to apologize
das ist ein schöner Name | that's a beautiful name
wer war das | who was that
das ist verrückt | that's crazy
was ist los mit dir | what's wrong with you
er ist mein bester Freund | he is my best friend
ja das stimmt | yes that's right
wie konntest du das zulassen | how could you allow that
wirst du ihn anrufen | will you call him
ich kann es nicht glauben | I can't believe it
du liegst falsch | you are wrong
ich würde dich gerne wiedersehen | I would like to see you again
du hast heute etwas Gutes getan | you did something good today
habe ich etwas verpasst | did I miss something
das spielt keine Rolle | that doesn't matter
wie viele willst du | how many do you want
das warst du | that was you
das war so lahm | that was so lame
willst du mit Wein kommen | do you want to come with wine
wo sind sie | where are they
sei glücklich | be happy
lächle | smile
wie komme ich zum Flughafen | how do I get to the airport
ich kann dir meine Nummer nicht geben | I can't give you my number
das habe ich völlig vergessen | I completely forgot that
wir reden später | we'll talk later
was macht sie | what is she doing
du machst mich glücklich | you make me happy
ich habe den ganzen Tag gearbeitet | I worked all day
ich werde eine Pizza bestellen | I will order a pizza
bring ihn zu mir zurück | bring him back to me
ich kenne das Mädchen | I know the girl
sieh dir das an | look at that
du bist mein Freund | you are my friend
noch ein gutes Argument | another good argument
du willst dass ich lüge | you want me to lie
er sieht nicht glücklich aus | he doesn't look happy
das gibt's doch nicht | that can't be true
glaube an dich selbst | believe in yourself
jeder lügt in seinem Lebenslauf | everyone lies on their resume
was zum Teufel machst du da | what the hell are you doing
mach die Tür auf | open the door
keiner von uns | none of us
ich hasse diesen Typen | I hate this guy
ich bin ein Freund von mir | I am a friend of mine
küss mich | kiss me
kau nicht an deinen Nägeln | don't bite your nails
war das deine Idee | was that your idea
ich bin anderer Meinung als du | I disagree with you
es war ihre Idee | it was her idea
sie kennt mich kaum | she barely knows me
du riechst heute Abend gut | you smell good tonight
hast du Paul gesehen | have you seen Paul
es ist kompliziert | it's complicated
ich weiß dass du es kannst | I know you can do it
du bist so süß | you are so sweet
das ist so toll | that's so great
hör auf damit | stop it
ist das wahr | is that true
da kommt sie | here she comes
lass es uns machen | let's do it
die Jacke steht dir gut | the jacket looks good on you
wie sieht sie aus | what does she look like
ich habe nichts gemacht | I didn't do anything
du hast etwas Schlimmes getan | you did something bad
ich verstehe was du meinst | I understand what you mean
hier ist meine Kreditkarte | here is my credit card
mach dir nichts draus | don't worry about it
probier diese Suppe | try this soup
schau nicht hin | don't look
jetzt bin ich deprimiert | now I'm depressed
soll ich ihn anrufen | should I call him
wovon redest du eigentlich | what are you actually talking about
tut es noch weh | does it still hurt
wie oft liest du Bücher | how often do you read books
oh das ist toll | oh that's great
ich mag es nicht | I don't like it
ich habe mich beschäftigt | I kept myself busy
ich bin schwach | I am weak
das musst du gewesen sein | that must have been you
es war dumm | it was stupid
was hast du vor | what are you planning
sag es ihm | tell him
du bist ein Idiot | you are an idiot
ich habe allen davon erzählt | I told everyone about it
wo soll ich anfangen | where should I start
ich liebe dieses Buch | I love this book
er hat völlig recht | he is absolutely right
er ist noch nicht da | he's not here yet
das habe ich ihr auch gesagt | I told her that too
spiel mit mir | play with me
muss es denn gleich ein ganzer Tag sein | does it have to be a whole day
warum schreist du | why are you screaming
ich habe etwas für dich | I have something for you
bist du bereit | are you ready
du blutest | you are bleeding
du bist sehr nett | you are very nice
schön dich kennenzulernen | nice to meet you
ich mag diese Frage nicht | I don't like this question
ich brauche etwas Süßes | I need something sweet
die Übersetzung ist nicht gut | the translation is not good
ich muss arbeiten | I have to work
das ist doch Unsinn | that's nonsense
Überraschung | surprise
ich bin ganz deiner Meinung | I completely agree with you
ist Freitag okay | is Friday okay
sich zu sorgen ist verschwendete Zeit | worrying is wasted time
das Spiel ist vorbei | the game is over
kann ich dir bei irgendetwas helfen | can I help you with anything
hast du die Maschine überprüft | did you check the machine
wovon sprichst du | what are you talking about
hast du auf mein Handy aufgepasst | did you watch my phone
ich kann dich nicht hören | I can't hear you
was ist passiert | what happened
ich will dich nie wiedersehen | I never want to see you again
ich kann das jetzt nicht trinken | I can't drink that now
wir haben eine Überraschung für dich | we have a surprise for you
das habe ich nie gesagt | I never said that
vergiss es | forget it
das Telefon klingelt | the phone is ringing
bitte hasse mich nicht | please don't hate me
ich muss zur Arbeit gehen | I have to go to work
ich werde es tun | I will do it
er ist verrückt | he is crazy
du bist unglaublich | you are incredible
kann ich dein Telefon benutzen | can I use your phone
ich versuche positiv zu bleiben | I try to stay positive
ich möchte auf die Toilette gehen | I want to go to the bathroom
rate mal was ich gekauft habe | guess what I bought
du wurdest gefeuert | you were fired
was ist los | what's wrong
kein Problem | no problem
nein natürlich nicht | no of course not
ich werde es in Ordnung bringen | I will fix it
beeil dich | hurry up
